                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.174,                 3.1322,                 1.2668,                0.78115,                0.63822,                0.84197,                0.65483,                0.69148,                 1.4682,                0.90329,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                 1.4795,                 3.5547,                 1.4655,                 0.7635,                0.70539,                0.84259,                0.65838,                0.68358,                  1.438,                0.89377,             3.2166e-06,             3.2166e-06,             3.2166e-06
                      3,                 1.0312,                 3.0191,                 1.2277,                0.76382,                0.71035,                0.84763,                0.66613,                0.67896,                 1.3996,                0.88816,             4.7719e-06,             4.7719e-06,             4.7719e-06
                      4,                 1.0283,                 3.2197,                 1.2087,                0.82559,                0.67373,                0.84036,                0.67165,                0.66573,                  1.335,                0.87702,              5.856e-06,              5.856e-06,              5.856e-06
                      5,                  1.037,                 2.8573,                 1.3148,                0.84103,                0.68985,                0.84516,                0.68023,                0.66653,                 1.2677,                0.88164,             6.4688e-06,             6.4688e-06,             6.4688e-06
                      6,                 1.0494,                 2.1925,                 1.2556,                  0.805,                0.69375,                0.84406,                0.68316,                0.65913,                 1.1922,                0.87644,             6.6105e-06,             6.6105e-06,             6.6105e-06
                      7,                0.99728,                 1.8135,                 1.2433,                0.80326,                0.69882,                0.83711,                0.68261,                 0.6514,                 1.1361,                0.87363,             6.2808e-06,             6.2808e-06,             6.2808e-06
                      8,                0.93616,                  1.962,                 1.1457,                0.80562,                0.71243,                 0.8469,                0.69085,                0.63642,                 1.0819,                0.86242,               5.48e-06,               5.48e-06,               5.48e-06
                      9,                 0.8663,                 1.8147,                 1.0844,                0.82196,                0.72593,                0.84927,                0.69674,                0.63911,                 1.0618,                0.86329,             4.2078e-06,             4.2078e-06,             4.2078e-06
                     10,                 0.7974,                  1.356,                 1.0765,                0.80792,                0.73213,                0.84627,                0.68908,                0.63622,                 1.0341,                0.85916,             2.4645e-06,             2.4645e-06,             2.4645e-06
